nom,link,nevades,dataReport,neuPista,estado,maximNevada,minimNevada
Corviglia-Marguns,https://es.snow-forecast.com/resorts/Corviglia-Marguns/snow-report,30,publicado el 15 Apr 2019,-,closed,,
Crans Montana,https://es.snow-forecast.com/resorts/Crans-Montana/snow-report,4,publicado el 15 Apr 2019,Spring snow,closed,,150
Dallenwil Wirzweli,https://es.snow-forecast.com/resorts/DallenwilWirzweli/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Davos,https://es.snow-forecast.com/resorts/Davos/snow-report,19,publicado el 15 Apr 2019,Spring snow,Open,79,263
Degersheim,https://es.snow-forecast.com/resorts/Degersheim/snow-report,8,publicado el 15 Apr 2019,-,closed,,
Dent-de-Vaulion,https://es.snow-forecast.com/resorts/Dent-de-Vaulion/snow-report,4,publicado el  7 Apr 2019,-,-,,
Diavolezza-Lagalb,https://es.snow-forecast.com/resorts/Diavolezza-Lagalb/snow-report,23,publicado el 15 Apr 2019,Packed powder or groomed snow,open,50,180
Diemtigtal - Grimmialp,https://es.snow-forecast.com/resorts/Diemtigtal-Grimmialp/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Diemtigtal - Springenboden,https://es.snow-forecast.com/resorts/Diemtigtal-Springenboden/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Diemtigtal - Wiriehorn,https://es.snow-forecast.com/resorts/Diemtigtal-Wiriehorn/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Disentis,https://es.snow-forecast.com/resorts/Disentis/snow-report,15,publicado el 15 Apr 2019,Packed powder or groomed snow,open,,160
Ebenalp,https://es.snow-forecast.com/resorts/Ebenalp/snow-report,8,publicado el 15 Apr 2019,-,closed,,
Ebnat-Kappel - Toggenburg,https://es.snow-forecast.com/resorts/Ebnat-Kappel-Toggenburg/snow-report,9,publicado el 15 Apr 2019,-,closed,,
Eggiwil,https://es.snow-forecast.com/resorts/Eggiwil/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Eigenthal,https://es.snow-forecast.com/resorts/Eigenthal/snow-report,22,publicado el  5 Apr 2019,-,-,,
